date_utc,claimable_rail
2025-01-01,1197599.922683620512230025
2025-01-02,1197666.602683620512230025
2025-01-03,1197666.602683620512230025
2025-01-04,1417758.529583620512230025
2025-01-05,1227035.789583620512230025
2025-01-06,1253954.439218539290991793
2025-01-07,1376694.648144754630951308
2025-01-08,1376694.648144754630951308
2025-01-09,1376694.648144754630951308
2025-01-10,1378960.316275189035956061
2025-01-11,1364162.678152432566033378
2025-01-12,1367314.891275189035956061
2025-01-13,1367314.891275189035956061
2025-01-14,1488894.148665069664192954
2025-01-15,1488113.725757251456978437
2025-01-16,1495530.225757251456978437
2025-01-17,1495530.225757251456978437
2025-01-18,1446345.194866119651605631
2025-01-19,1538115.264866119651605631
2025-01-20,1420642.264866119651605631
2025-01-21,1426550.903783851264233756
2025-01-22,1411632.693783851264233756
2025-01-23,1405270.120373851264233756
2025-01-24,1411295.120373851264233756
2025-01-25,1409187.220373851264233756
2025-01-26,1409187.220373851264233756
2025-01-27,1406919.593783851264233756
2025-01-28,1386484.410755852487818721
2025-01-29,1386674.410755852487818721
2025-01-30,1381649.410755852487818721
2025-01-31,1381649.410755852487818721
2025-02-01,1383894.471971840319571709
2025-02-02,1350094.471971840319571709
2025-02-03,1351321.471971840319571709
2025-02-04,1351321.471971840319571709
2025-02-05,1351321.471971840319571709
2025-02-06,1351321.471971840319571709
2025-02-07,1349821.471971840319571709
2025-02-08,1349821.471971840319571709
2025-02-09,1350975.981611356550549240
2025-02-10,1349821.471971840319571710
2025-02-11,1264877.471971840319571710
2025-02-12,1264877.471971840319571710
2025-02-13,1286985.525363009477198694
2025-02-14,1286597.525363009477198694
2025-02-15,1285383.867681241238475281
2025-02-16,1289383.867681241238475281
2025-02-17,1289383.867681241238475281
2025-02-18,1296935.979057536041779070
2025-02-19,1296935.979057536041779070
2025-02-20,1297128.786746871870670277
2025-02-21,1196410.982094855953883949
2025-02-22,1199552.278802940459618090
2025-02-23,1200133.573057471269649188
2025-02-24,1175072.718462709503061365
2025-02-25,1195259.405454147553931535
2025-02-26,1195259.405454147553931535
2025-02-27,1213699.256711141248410813
2025-02-28,1213699.256711141248410813
2025-03-01,1213699.256711141248410813
2025-03-02,1213699.256711141248410813
2025-03-03,1195244.263794939695689953
2025-03-04,1216296.765160932139209492
2025-03-05,675293.806486958893986230
2025-03-06,681293.806486958893986230
2025-03-07,642800.777839924519037370
2025-03-08,640800.777839924519037370
2025-03-09,686800.777839924519037370
2025-03-10,736800.777839924519037370
2025-03-11,737130.777839924519037370
2025-03-12,708596.777839924519037370
2025-03-13,708596.777839924519037370
2025-03-14,686096.777839924519037370
2025-03-15,686096.777839924519037370
2025-03-16,686096.777839924519037370
2025-03-17,686096.777839924519037370
